Altium Designer Pick and Place Locations
F:\PumpSystem\BRK-200-19000XX\ELEKTRONIK\PICK&PLACE\P&P.txt

========================================================================================================================
File Design Information:

Date:       01-11-20
Time:       10:09
Revision:   Not in VersionControl
Variant:    Non-Pro
Units used: mm

Designator Comment        Layer    Footprint               Center-X(mm) Center-Y(mm) Rotation Description                         
R76        10K            TopLayer R-0603                  12.2174      92.5068      360      "RES SMD 10K OHM 1% 1/10W 0603"     
R75        10K            TopLayer R-0603                  12.2174      89.9160      360      "RES SMD 10K OHM 1% 1/10W 0603"     
R74        10K            TopLayer R-0603                  12.2428      86.7664      360      "RES SMD 10K OHM 1% 1/10W 0603"     
R73        0R             TopLayer JMP-0805                1.7018       58.9788      270      "RES SMD 0 OHM JUMPER 1/8W 0805"    
CMC1       DLW5BTM102TQ2L TopLayer CMC-DLW5BTM             9.2710       31.2420      180      "CMC 2.5A 2LN 1 KOHM SMD"           
C58        100NF          TopLayer C-0603                  124.2883     30.2932      270      "CAP CER 0.1UF 50V X7R 0603"        
TVS36      TPD2E2U06      TopLayer SOT323-3                114.4500     86.7200      90       "TVS DIODE 5.5V 12.4V SC70-3"       
TVS35      TPD2E2U06      TopLayer SOT323-3                127.6350     86.8680      90       "TVS DIODE 5.5V 12.4V SC70-3"       
TVS34      TPD2E2U06      TopLayer SOT323-3                76.7000      86.8680      90       "TVS DIODE 5.5V 12.4V SC70-3"       
TVS33      TPD2E2U06      TopLayer SOT323-3                89.2330      86.8680      90       "TVS DIODE 5.5V 12.4V SC70-3"       
TVS32      TPD2E2U06      TopLayer SOT323-3                132.7046     86.8680      90       "TVS DIODE 5.5V 12.4V SC70-3"       
TVS31      TPD2E2U06      TopLayer SOT323-3                147.8000     86.8680      90       "TVS DIODE 5.5V 12.4V SC70-3"       
TVS20      TPD2E2U06      TopLayer SOT323-3                95.2500      86.8680      90       "TVS DIODE 5.5V 12.4V SC70-3"       
TVS10      TPD2E2U06      TopLayer SOT323-3                106.0958     86.8680      90       "TVS DIODE 5.5V 12.4V SC70-3"       
VR1        B72510E1250K62 TopLayer R-0805                  14.0000      12.8000      0        "VARISTOR 39V 80A 0805"             
R31        1K             TopLayer R-0603                  52.4671      22.3621      90       "RES SMD 1K OHM 5% 1/10W 0603"      
R28        1K             TopLayer R-0603                  50.8856      22.3385      90       "RES SMD 1K OHM 5% 1/10W 0603"      
R26        1K             TopLayer R-0603                  38.0722      22.1245      90       "RES SMD 1K OHM 5% 1/10W 0603"      
R19        1K             TopLayer R-0603                  36.4896      22.1245      90       "RES SMD 1K OHM 5% 1/10W 0603"      
C80        10NF           TopLayer C-0603                  53.2578      24.6872      180      "CAP CER 10000PF 100V X7R 0603"     
C78        100NF          TopLayer C-0603                  51.5294      26.2311      360      "CAP CER 0.1UF 50V X7R 0603"        
C73        10NF           TopLayer C-0603                  50.0830      24.6872      180      "CAP CER 10000PF 100V X7R 0603"     
C71        10NF           TopLayer C-0603                  38.8908      24.4620      180      "CAP CER 10000PF 100V X7R 0603"     
C69        100NF          TopLayer C-0603                  37.2725      26.0163      360      "CAP CER 0.1UF 50V X7R 0603"        
C67        10NF           TopLayer C-0603                  35.7165      24.4711      180      "CAP CER 10000PF 100V X7R 0603"     
R42        1K             TopLayer R-0603                  87.3358      22.1214      90       "RES SMD 1K OHM 5% 1/10W 0603"      
R40        1K             TopLayer R-0603                  85.7764      22.1223      90       "RES SMD 1K OHM 5% 1/10W 0603"      
R38        1K             TopLayer R-0603                  80.6332      22.0695      90       "RES SMD 1K OHM 5% 1/10W 0603"      
R37        1K             TopLayer R-0603                  79.0558      22.0629      90       "RES SMD 1K OHM 5% 1/10W 0603"      
C90        10NF           TopLayer C-0603                  88.1370      24.5055      180      "CAP CER 10000PF 100V X7R 0603"     
C89        100NF          TopLayer C-0603                  86.5504      26.1029      360      "CAP CER 0.1UF 50V X7R 0603"        
C88        10NF           TopLayer C-0603                  84.9794      24.5124      180      "CAP CER 10000PF 100V X7R 0603"     
C87        10NF           TopLayer C-0603                  81.4452      24.4216      180      "CAP CER 10000PF 100V X7R 0603"     
C86        100NF          TopLayer C-0603                  79.8305      26.0082      360      "CAP CER 0.1UF 50V X7R 0603"        
C85        10NF           TopLayer C-0603                  78.2812      24.4309      180      "CAP CER 10000PF 100V X7R 0603"     
SW4        SW-TACTILE-5MM TopLayer TACTILE_SMD_V2          76.3000      75.8254      90       "SWITCH TACTILE SPST-NO 0.05A 24V"  
SW3        SW-TACTILE-5MM TopLayer TACTILE_SMD_V2          118.2000     75.8000      90       "SWITCH TACTILE SPST-NO 0.05A 24V"  
R72        10K            TopLayer R-0603                  109.5756     60.3758      90       "RES SMD 10K OHM 1% 1/10W 0603"     
R71        10K            TopLayer R-0603                  152.1714     59.4106      90       "RES SMD 10K OHM 1% 1/10W 0603"     
C126       100NF          TopLayer C-0603                  108.0008     60.4012      90       "CAP CER 0.1UF 50V X7R 0603"        
C125       100NF          TopLayer C-0603                  150.6644     59.3985      90       "CAP CER 0.1UF 50V X7R 0603"        
U10        AT24C128C      TopLayer SOIC8                   67.8224      80.6197      180      "IC EEPROM 128K I2C 1MHZ 8SOIC"     
R70        1K             TopLayer R-0603                  63.0393      83.3364      270      "RES SMD 1K OHM 5% 1/10W 0603"      
R69        1K             TopLayer R-0603                  61.5000      81.8000      270      "RES SMD 1K OHM 5% 1/10W 0603"      
FB14       330R           TopLayer FB-0603                 64.9000      75.5055      90       "FERRITE BEAD 330 OHM 0603 1LN"     
C124       22PF           TopLayer C-0603                  65.9215      84.6225      180      "CAP CER 22PF 50V C0G/NP0 0603"     
C112       100NF          TopLayer C-0603                  67.1000      76.3000      180      "CAP CER 0.1UF 50V X7R 0603"        
C102       100NF          TopLayer C-0603                  67.1063      74.7714      180      "CAP CER 0.1UF 50V X7R 0603"        
R68        330R           TopLayer R-0603                  131.8991     25.6359      270      "RES SMD 330 OHM 5% 1/10W 0603"     
R67        330R           TopLayer R-0603                  110.3376     26.0096      270      "RES SMD 330 OHM 5% 1/10W 0603"     
D4         RED            TopLayer LED-0603                109.1874     70.5992      360      "LED RED CLEAR 0603 SMD"            
